Name,class_0_proportion,class_1_proportion,dataset_size,AUC
AntDataset,0.8128559804719284,0.1871440195280716,1229,0.736639089607987
CassDataset,0.8517801857585139,0.14821981424148606,2584,0.9234153299466981
CommonsDataset,0.9296551724137931,0.0703448275862069,725,0.689452124935996
LucenceDataset,0.6311752071187481,0.3688247928812519,3259,0.8669295980238041
DerbyDataset,0.9132714804356595,0.08672851956434045,2479,0.9642265834447501
JmeterDataset,0.7516556291390728,0.24834437086092714,604,0.9216327733569113
MvnDataset,0.915129151291513,0.08487084870848709,813,0.9026672694394213
PhoenixDataset,0.8241610738255034,0.17583892617449665,2235,0.8835970919578555
TomcatDataset,0.7219512195121951,0.2780487804878049,1435,0.8550771685603454
