Name,class_0_proportion,class_1_proportion,ratio_0_1,dataset_size,AUC
AntDataset,0.8128559804719284,0.1871440195280716,4.343478260869565,1229,0.736639089607987
CassDataset,0.8517801857585139,0.148219814241486,5.746736292428201,2584,0.923415329946698
CommonsDataset,0.9296551724137933,0.0703448275862069,13.215686274509805,725,0.689452124935996
LucenceDataset,0.6311752071187481,0.3688247928812519,1.7113144758735441,3259,0.8669295980238041
DerbyDataset,0.9132714804356596,0.0867285195643404,10.530232558139543,2479,0.96422658344475
JmeterDataset,0.7516556291390728,0.2483443708609271,3.0266666666666673,604,0.9216327733569112
MvnDataset,0.915129151291513,0.084870848708487,10.782608695652184,813,0.9026672694394212
PhoenixDataset,0.8241610738255034,0.1758389261744966,4.687022900763361,2235,0.8835970919578555
TomcatDataset,0.7219512195121951,0.2780487804878049,2.596491228070175,1435,0.8550771685603454
